Optimal Found Or Timeout,Instances,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,Solving...,UNSATISFIABLE,,Models       ,Calls        ,Time         ,CPU Time     ,,Choices      ,Conflicts    ,Restarts     ,Model-Level  ,Problems     ,Lemmas       ,  Binary     ,  Ternary    ,  Conflict   ,  Loop       ,  Other      ,Backjumps    ,  Executed   ,  Bounded    ,,Rules        ,  Choice     ,Atoms        ,Bodies       ,Equivalences ,Tight        ,Variables    ,Constraints  ,,DifferenceLogic,  Time init(s),  Mutexes    ,  [Thread 0],    Propagation(s),    Dijkstra(s),    Undo(s)  ,    True edges,    False edges,    False edges (inverse),    False edges (partial),    False edges (partial+),    Edges added,    Edges skipped,    Edges propagated,    Cost consistency,    Cost forward,    Cost backward,Completion Time for Window 1 ,Completion Time for Window 2 ,Completion Time for Window 3 ,Number of Interrupted Calls ,Number of UnInterrupted Calls 
Solving...,Dmu73_Clus(1), , , , , , , , , , , ,[' 4465'],[' 2236'],"[' 477.799s (Solving', ' 467.77s 1st Model', ' 241.11s Unsat', ' 8.94s)']",[' 475.313s'], ,[' 166556775'],"[' 9376844  (Analyzed', ' 8744566)']","[' 19617    (Average', ' 445.76 Last', ' 2103624)']",[' 4114.7  '],"[' 2236     (Average Length', ' 1171.71 Splits', ' 0)']","[' 8744566  (Deleted', ' 8672952)']","[' 789      (Ratio', '   0.01%)']","[' 18818    (Ratio', '   0.22%)']","[' 8744566  (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8744566  (Average', ' 18.22 Max', ' 4067 Sum', ' 159306648)']","[' 8744215  (Average', ' 18.17 Max', ' 4067 Sum', ' 158899641 Ratio', '  99.74%)']","[' 351      (Average', ' 1159.56 Max', ' 1443 Sum', ' 407007 Ratio', '   0.26%)']", ,[' 92937   '],[' 5979    '],[' 87310   '],[' 39476   '],"[' 116183   (Atom=Atom', ' 30397 Body=Body', ' 19959 Other', ' 65827)']",[' Yes'],"[' 8402     (Eliminated', '    0 Frozen', ' 8402)']","[' 2862     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.04299'],[' 0'], ,[' 253.588'],[' 0'],[' 12.7812'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.27443e+08'],[' 4.28634e+08'],[' 0'],[' 1.25627e+10'],[' 0'],[' 0'],[' 2566 '],[' 5580 '],[' 7826 '],[' 2 '],[' 1 ']
Solving...,Dmu73_Clus(10), , , , , , , , , , ,[' 1'],[' 4799+'],[' 2403'],"[' 602.816s (Solving', ' 591.25s 1st Model', ' 247.64s Unsat', ' 0.00s)']",[' 599.406s'], ,[' 233834642'],"[' 8077836  (Analyzed', ' 7431255)']","[' 18115    (Average', ' 410.23 Last', ' 399784)']",[' 3971.8  '],"[' 2403     (Average Length', ' 1252.30 Splits', ' 0)']","[' 7431255  (Deleted', ' 7368262)']","[' 541      (Ratio', '   0.01%)']","[' 28755    (Ratio', '   0.39%)']","[' 7431255  (Average Length', '   14.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7431255  (Average', ' 30.52 Max', ' 3654 Sum', ' 226795858)']","[' 7430766  (Average', ' 30.43 Max', ' 3654 Sum', ' 226146204 Ratio', '  99.71%)']","[' 489      (Average', ' 1328.54 Max', ' 2072 Sum', ' 649654 Ratio', '   0.29%)']", ,[' 93297   '],[' 5991    '],[' 87713   '],[' 39745   '],"[' 117013   (Atom=Atom', ' 30626 Body=Body', ' 20001 Other', ' 66386)']",[' Yes'],"[' 8526     (Eliminated', '    0 Frozen', ' 8526)']","[' 4013     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.35782'],[' 0'], ,[' 285.201'],[' 0'],[' 16.7868'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.35763e+08'],[' 7.00367e+08'],[' 0'],[' 1.3424e+10'],[' 0'],[' 0'],[' 2324 '],[' 4589 '],[' 6762 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(11), , , , , , , , , , ,[' 1'],[' 4673+'],[' 2340'],"[' 602.822s (Solving', ' 591.77s 1st Model', ' 226.16s Unsat', ' 0.00s)']",[' 599.859s'], ,[' 243089323'],"[' 8250829  (Analyzed', ' 7651218)']","[' 18366    (Average', ' 416.60 Last', ' 534546)']",[' 3992.3  '],"[' 2340     (Average Length', ' 1230.44 Splits', ' 0)']","[' 7651218  (Deleted', ' 7584478)']","[' 503      (Ratio', '   0.01%)']","[' 27453    (Ratio', '   0.36%)']","[' 7651218  (Average Length', '   14.8 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7651218  (Average', ' 30.85 Max', ' 3641 Sum', ' 236024753)']","[' 7650753  (Average', ' 30.78 Max', ' 3641 Sum', ' 235472899 Ratio', '  99.77%)']","[' 465      (Average', ' 1186.78 Max', ' 1480 Sum', ' 551854 Ratio', '   0.23%)']", ,[' 93123   '],[' 5990    '],[' 87558   '],[' 39650   '],"[' 116683   (Atom=Atom', ' 30545 Body=Body', ' 19992 Other', ' 66146)']",[' Yes'],"[' 8488     (Eliminated', '    0 Frozen', ' 8488)']","[' 3807     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.222'],[' 0'], ,[' 288.848'],[' 0'],[' 17.3777'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.25682e+08'],[' 6.89374e+08'],[' 0'],[' 1.43016e+10'],[' 0'],[' 0'],[' 2332 '],[' 4642 '],[' 6876 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(12), , , , , , , , , , ,[' 1'],[' 4555+'],[' 2281'],"[' 602.957s (Solving', ' 592.66s 1st Model', ' 360.71s Unsat', ' 0.00s)']",[' 601.453s'], ,[' 236497208'],"[' 9043960  (Analyzed', ' 8450211)']","[' 20898    (Average', ' 404.36 Last', ' 848726)']",[' 3932.8  '],"[' 2281     (Average Length', ' 1195.86 Splits', ' 0)']","[' 8450211  (Deleted', ' 8386158)']","[' 626      (Ratio', '   0.01%)']","[' 25024    (Ratio', '   0.30%)']","[' 8450211  (Average Length', '   14.2 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8450211  (Average', ' 27.17 Max', ' 3795 Sum', ' 229609638)']","[' 8449782  (Average', ' 27.11 Max', ' 3753 Sum', ' 229099019 Ratio', '  99.78%)']","[' 429      (Average', ' 1190.25 Max', ' 1491 Sum', ' 510619 Ratio', '   0.22%)']", ,[' 93074   '],[' 5990    '],[' 87446   '],[' 39587   '],"[' 116489   (Atom=Atom', ' 30486 Body=Body', ' 19992 Other', ' 66011)']",[' Yes'],"[' 8423     (Eliminated', '    0 Frozen', ' 8423)']","[' 3520     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.03894'],[' 0'], ,[' 299.861'],[' 0'],[' 17.0726'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.04068e+08'],[' 6.68589e+08'],[' 0'],[' 1.51829e+10'],[' 0'],[' 0'],[' 2533 '],[' 4787 '],[' 6994 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(13), , , , , , , , , , ,[' 1'],[' 4907+'],[' 2457'],"[' 602.519s (Solving', ' 592.20s 1st Model', ' 324.93s Unsat', ' 0.00s)']",[' 601.234s'], ,[' 246142157'],"[' 8573036  (Analyzed', ' 7956444)']","[' 19150    (Average', ' 415.48 Last', ' 737054)']",[' 3985.8  '],"[' 2457     (Average Length', ' 1276.56 Splits', ' 0)']","[' 7956444  (Deleted', ' 7893851)']","[' 573      (Ratio', '   0.01%)']","[' 28485    (Ratio', '   0.36%)']","[' 7956444  (Average Length', '   14.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7956444  (Average', ' 30.03 Max', ' 3746 Sum', ' 238905025)']","[' 7956005  (Average', ' 29.95 Max', ' 3612 Sum', ' 238301855 Ratio', '  99.75%)']","[' 439      (Average', ' 1373.96 Max', ' 1975 Sum', ' 603170 Ratio', '   0.25%)']", ,[' 93206   '],[' 5979    '],[' 87705   '],[' 39725   '],"[' 116935   (Atom=Atom', ' 30625 Body=Body', ' 19962 Other', ' 66348)']",[' Yes'],"[' 8563     (Eliminated', '    0 Frozen', ' 8563)']","[' 3779     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.1815'],[' 0'], ,[' 284.247'],[' 0'],[' 17.1946'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 8.61998e+08'],[' 7.21758e+08'],[' 0'],[' 1.40709e+10'],[' 0'],[' 0'],[' 2394 '],[' 4733 '],[' 6827 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(14), , , , , , , , , , ,[' 1'],[' 4291+'],[' 2149'],"[' 602.223s (Solving', ' 593.74s 1st Model', ' 181.39s Unsat', ' 0.00s)']",[' 600.547s'], ,[' 221906867'],"[' 10146554 (Analyzed', ' 9563752)']","[' 19594    (Average', ' 488.10 Last', ' 1062709)']",[' 3808.6  '],"[' 2149     (Average Length', ' 1132.59 Splits', ' 0)']","[' 9563752  (Deleted', ' 9485520)']","[' 553      (Ratio', '   0.01%)']","[' 24564    (Ratio', '   0.26%)']","[' 9563752  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9563752  (Average', ' 22.55 Max', ' 3742 Sum', ' 215628915)']","[' 9563301  (Average', ' 22.48 Max', ' 3742 Sum', ' 215030987 Ratio', '  99.72%)']","[' 451      (Average', ' 1325.78 Max', ' 1540 Sum', ' 597928 Ratio', '   0.28%)']", ,[' 92801   '],[' 5966    '],[' 87027   '],[' 39345   '],"[' 115805   (Atom=Atom', ' 30265 Body=Body', ' 19923 Other', ' 65617)']",[' Yes'],"[' 8267     (Eliminated', '    0 Frozen', ' 8267)']","[' 3572     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.8164'],[' 0'], ,[' 318.241'],[' 0'],[' 16.8849'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.27758e+08'],[' 5.9976e+08'],[' 0'],[' 1.73916e+10'],[' 0'],[' 0'],[' 2335 '],[' 4593 '],[' 6909 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(15), , , , , , , , , , ,[' 1'],[' 4351+'],[' 2179'],"[' 602.603s (Solving', ' 592.22s 1st Model', ' 250.41s Unsat', ' 0.00s)']",[' 599.875s'], ,[' 225376817'],"[' 9263785  (Analyzed', ' 8699164)']","[' 20168    (Average', ' 431.33 Last', ' 662869)']",[' 3952.1  '],"[' 2179     (Average Length', ' 1145.51 Splits', ' 0)']","[' 8699164  (Deleted', ' 8624108)']","[' 562      (Ratio', '   0.01%)']","[' 27179    (Ratio', '   0.31%)']","[' 8699164  (Average Length', '   15.1 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8699164  (Average', ' 25.14 Max', ' 3624 Sum', ' 218683647)']","[' 8698667  (Average', ' 25.07 Max', ' 3624 Sum', ' 218115069 Ratio', '  99.74%)']","[' 497      (Average', ' 1144.02 Max', ' 1338 Sum', ' 568578 Ratio', '   0.26%)']", ,[' 92917   '],[' 5988    '],[' 87207   '],[' 39463   '],"[' 116176   (Atom=Atom', ' 30376 Body=Body', ' 19986 Other', ' 65814)']",[' Yes'],"[' 8332     (Eliminated', '    0 Frozen', ' 8332)']","[' 3757     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.11123'],[' 0'], ,[' 311.053'],[' 0'],[' 16.9619'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.2426e+08'],[' 5.98942e+08'],[' 0'],[' 1.58275e+10'],[' 0'],[' 0'],[' 2409 '],[' 4769 '],[' 6991 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(2), , , , , , , , , , , ,[' 4981'],[' 2494'],"[' 578.476s (Solving', ' 567.23s 1st Model', ' 331.58s Unsat', ' 75.50s)']",[' 576.047s'], ,[' 161786788'],"[' 11396844 (Analyzed', ' 10593371)']","[' 25888    (Average', ' 409.20 Last', ' 1959699)']",[' 4260.3  '],"[' 2494     (Average Length', ' 1298.22 Splits', ' 0)']","[' 10593371 (Deleted', ' 10500220)']","[' 703      (Ratio', '   0.01%)']","[' 14672    (Ratio', '   0.14%)']","[' 10593371 (Average Length', '   11.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 10593371 (Average', ' 14.50 Max', ' 4193 Sum', ' 153606654)']","[' 10592953 (Average', ' 14.45 Max', ' 4193 Sum', ' 153110415 Ratio', '  99.68%)']","[' 418      (Average', ' 1187.17 Max', ' 1968 Sum', ' 496239 Ratio', '   0.32%)']", ,[' 93032   '],[' 5928    '],[' 87548   '],[' 39546   '],"[' 116358   (Atom=Atom', ' 30472 Body=Body', ' 19815 Other', ' 66071)']",[' Yes'],"[' 8565     (Eliminated', '    0 Frozen', ' 8565)']","[' 2361     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.27111'],[' 0'], ,[' 324.047'],[' 0'],[' 14.2956'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.37031e+08'],[' 4.23264e+08'],[' 0'],[' 1.63544e+10'],[' 0'],[' 0'],[' 2611 '],[' 4937 '],[' 7209 '],[' 2 '],[' 1 ']
Solving...,Dmu73_Clus(3), , , , , , , , , , , ,[' 3949'],[' 1978'],"[' 474.681s (Solving', ' 466.08s 1st Model', ' 320.66s Unsat', ' 11.82s)']",[' 473.594s'], ,[' 158881238'],"[' 9216234  (Analyzed', ' 8590061)']","[' 20746    (Average', ' 414.06 Last', ' 1228164)']",[' 3956.3  '],"[' 1978     (Average Length', ' 1053.52 Splits', ' 0)']","[' 8590061  (Deleted', ' 8530572)']","[' 667      (Ratio', '   0.01%)']","[' 16954    (Ratio', '   0.20%)']","[' 8590061  (Average Length', '   13.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8590061  (Average', ' 17.75 Max', ' 3950 Sum', ' 152488383)']","[' 8589628  (Average', ' 17.70 Max', ' 3950 Sum', ' 152039555 Ratio', '  99.71%)']","[' 433      (Average', ' 1036.55 Max', ' 1270 Sum', ' 448828 Ratio', '   0.29%)']", ,[' 92460   '],[' 5946    '],[' 86589   '],[' 39062   '],"[' 114899   (Atom=Atom', ' 30007 Body=Body', ' 19860 Other', ' 65032)']",[' Yes'],"[' 8113     (Eliminated', '    0 Frozen', ' 8113)']","[' 2748     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.77285'],[' 0'], ,[' 251.822'],[' 0'],[' 12.3158'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.59814e+08'],[' 4.54141e+08'],[' 0'],[' 1.24718e+10'],[' 0'],[' 0'],[' 2532 '],[' 4970 '],[' 7302 '],[' 2 '],[' 1 ']
Solving...,Dmu73_Clus(4), , , , , , , , , , ,[' 1'],[' 4823+'],[' 2415'],"[' 602.736s (Solving', ' 592.40s 1st Model', ' 370.17s Unsat', ' 0.00s)']",[' 600.781s'], ,[' 200048840'],"[' 10369484 (Analyzed', ' 9620070)']","[' 24165    (Average', ' 398.10 Last', ' 612133)']",[' 4186.8  '],"[' 2415     (Average Length', ' 1261.12 Splits', ' 0)']","[' 9620070  (Deleted', ' 9555569)']","[' 734      (Ratio', '   0.01%)']","[' 21060    (Ratio', '   0.22%)']","[' 9620070  (Average Length', '   12.7 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9620070  (Average', ' 19.97 Max', ' 4075 Sum', ' 192097536)']","[' 9619691  (Average', ' 19.92 Max', ' 4075 Sum', ' 191662855 Ratio', '  99.77%)']","[' 379      (Average', ' 1146.92 Max', ' 1549 Sum', ' 434681 Ratio', '   0.23%)']", ,[' 92841   '],[' 5933    '],[' 87365   '],[' 39461   '],"[' 116014   (Atom=Atom', ' 30392 Body=Body', ' 19821 Other', ' 65801)']",[' Yes'],"[' 8502     (Eliminated', '    0 Frozen', ' 8502)']","[' 2552     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.17555'],[' 0'], ,[' 324.228'],[' 0'],[' 15.8871'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.0759e+08'],[' 5.75941e+08'],[' 0'],[' 1.65534e+10'],[' 0'],[' 0'],[' 2466 '],[' 4817 '],[' 6972 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(5), , , , , , , , , , , ,[' 4529'],[' 2268'],"[' 451.370s (Solving', ' 440.53s 1st Model', ' 353.09s Unsat', ' 3.06s)']",[' 450.172s'], ,[' 157741656'],"[' 8656796  (Analyzed', ' 7891806)']","[' 20398    (Average', ' 386.89 Last', ' 1461877)']",[' 4208.4  '],"[' 2268     (Average Length', ' 1196.70 Splits', ' 0)']","[' 7891806  (Deleted', ' 7841842)']","[' 651      (Ratio', '   0.01%)']","[' 14530    (Ratio', '   0.18%)']","[' 7891806  (Average Length', '   12.9 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7891806  (Average', ' 19.02 Max', ' 4173 Sum', ' 150066385)']","[' 7891435  (Average', ' 18.96 Max', ' 4173 Sum', ' 149656979 Ratio', '  99.73%)']","[' 371      (Average', ' 1103.52 Max', ' 3009 Sum', ' 409406 Ratio', '   0.27%)']", ,[' 92618   '],[' 5913    '],[' 86995   '],[' 39234   '],"[' 115324   (Atom=Atom', ' 30172 Body=Body', ' 19764 Other', ' 65388)']",[' Yes'],"[' 8356     (Eliminated', '    0 Frozen', ' 8356)']","[' 2244     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.09092'],[' 0'], ,[' 232.556'],[' 0'],[' 11.6052'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.39228e+08'],[' 4.35657e+08'],[' 0'],[' 1.05769e+10'],[' 0'],[' 0'],[' 2521 '],[' 5045 '],[' 7328 '],[' 2 '],[' 1 ']
Solving...,Dmu73_Clus(6), , , , , , , , , , , ,[' 4719'],[' 2363'],"[' 465.386s (Solving', ' 454.95s 1st Model', ' 285.04s Unsat', ' 5.96s)']",[' 463.938s'], ,[' 169741854'],"[' 8590525  (Analyzed', ' 7828823)']","[' 18890    (Average', ' 414.44 Last', ' 831139)']",[' 4135.5  '],"[' 2363     (Average Length', ' 1244.87 Splits', ' 0)']","[' 7828823  (Deleted', ' 7768995)']","[' 577      (Ratio', '   0.01%)']","[' 18044    (Ratio', '   0.23%)']","[' 7828823  (Average Length', '   13.0 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 7828823  (Average', ' 20.72 Max', ' 3956 Sum', ' 162232431)']","[' 7828379  (Average', ' 20.66 Max', ' 3956 Sum', ' 161709902 Ratio', '  99.68%)']","[' 444      (Average', ' 1176.87 Max', ' 1563 Sum', ' 522529 Ratio', '   0.32%)']", ,[' 92821   '],[' 5944    '],[' 87303   '],[' 39431   '],"[' 116024   (Atom=Atom', ' 30384 Body=Body', ' 19854 Other', ' 65786)']",[' Yes'],"[' 8460     (Eliminated', '    0 Frozen', ' 8460)']","[' 3060     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.09095'],[' 0'], ,[' 234.256'],[' 0'],[' 12.224'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 5.88019e+08'],[' 4.79549e+08'],[' 0'],[' 1.07139e+10'],[' 0'],[' 0'],[' 2290 '],[' 4700 '],[' 7037 '],[' 2 '],[' 1 ']
Solving...,Dmu73_Clus(7), , , , , , , , , , ,[' 1'],[' 4793+'],[' 2400'],"[' 602.798s (Solving', ' 591.78s 1st Model', ' 318.04s Unsat', ' 0.00s)']",[' 601.328s'], ,[' 196191413'],"[' 10335710 (Analyzed', ' 9649571)']","[' 22184    (Average', ' 434.98 Last', ' 1337861)']",[' 4156.7  '],"[' 2400     (Average Length', ' 1242.84 Splits', ' 0)']","[' 9649571  (Deleted', ' 9591930)']","[' 719      (Ratio', '   0.01%)']","[' 20220    (Ratio', '   0.21%)']","[' 9649571  (Average Length', '   13.3 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 9649571  (Average', ' 19.52 Max', ' 4090 Sum', ' 188393036)']","[' 9649235  (Average', ' 19.48 Max', ' 4090 Sum', ' 188001703 Ratio', '  99.79%)']","[' 336      (Average', ' 1164.68 Max', ' 1420 Sum', ' 391333 Ratio', '   0.21%)']", ,[' 92493   '],[' 5992    '],[' 87349   '],[' 39434   '],"[' 116124   (Atom=Atom', ' 30536 Body=Body', ' 19965 Other', ' 65623)']",[' Yes'],"[' 8538     (Eliminated', '    0 Frozen', ' 8538)']","[' 2676     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.22189'],[' 0'], ,[' 320.876'],[' 0'],[' 15.6801'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.13916e+08'],[' 5.85846e+08'],[' 0'],[' 1.63503e+10'],[' 0'],[' 0'],[' 2595 '],[' 4715 '],[' 7223 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(8), , , , , , , , , , ,[' 1'],[' 4527+'],[' 2267'],"[' 602.451s (Solving', ' 592.40s 1st Model', ' 328.27s Unsat', ' 0.00s)']",[' 601.391s'], ,[' 237034213'],"[' 9342786  (Analyzed', ' 8731814)']","[' 20654    (Average', ' 422.77 Last', ' 791455)']",[' 3982.5  '],"[' 2267     (Average Length', ' 1177.60 Splits', ' 0)']","[' 8731814  (Deleted', ' 8664338)']","[' 613      (Ratio', '   0.01%)']","[' 26459    (Ratio', '   0.30%)']","[' 8731814  (Average Length', '   15.5 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8731814  (Average', ' 26.34 Max', ' 3844 Sum', ' 230001861)']","[' 8731354  (Average', ' 26.28 Max', ' 3844 Sum', ' 229452267 Ratio', '  99.76%)']","[' 460      (Average', ' 1194.77 Max', ' 1394 Sum', ' 549594 Ratio', '   0.24%)']", ,[' 92772   '],[' 5986    '],[' 87315   '],[' 39419   '],"[' 116249   (Atom=Atom', ' 30421 Body=Body', ' 19953 Other', ' 65875)']",[' Yes'],"[' 8413     (Eliminated', '    0 Frozen', ' 8413)']","[' 3308     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 2.09127'],[' 0'], ,[' 299.429'],[' 0'],[' 17.0221'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.86975e+08'],[' 6.53872e+08'],[' 0'],[' 1.49972e+10'],[' 0'],[' 0'],[' 2238 '],[' 4957 '],[' 7130 '],[' 3 '],[' 0 ']
Solving...,Dmu73_Clus(9), , , , , , , , , , ,[' 1'],[' 4327+'],[' 2167'],"[' 602.323s (Solving', ' 593.43s 1st Model', ' 214.88s Unsat', ' 0.00s)']",[' 601.031s'], ,[' 226358355'],"[' 9582601  (Analyzed', ' 8952246)']","[' 20424    (Average', ' 438.32 Last', ' 1212812)']",[' 3862.1  '],"[' 2167     (Average Length', ' 1144.92 Splits', ' 0)']","[' 8952246  (Deleted', ' 8875177)']","[' 587      (Ratio', '   0.01%)']","[' 25318    (Ratio', '   0.28%)']","[' 8952246  (Average Length', '   15.4 Ratio', ' 100.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 0        (Average Length', '    0.0 Ratio', '   0.00%) ']","[' 8952246  (Average', ' 24.56 Max', ' 3730 Sum', ' 219855880)']","[' 8951795  (Average', ' 24.50 Max', ' 3730 Sum', ' 219287725 Ratio', '  99.74%)']","[' 451      (Average', ' 1259.77 Max', ' 1759 Sum', ' 568155 Ratio', '   0.26%)']", ,[' 92964   '],[' 5986    '],[' 87188   '],[' 39475   '],"[' 116184   (Atom=Atom', ' 30370 Body=Body', ' 19990 Other', ' 65824)']",[' Yes'],"[' 8323     (Eliminated', '    0 Frozen', ' 8323)']","[' 3939     (Binary', ' 100.0% Ternary', '   0.0% Other', '   0.0%)']", , ,[' 1.90677'],[' 0'], ,[' 316.885'],[' 0'],[' 16.7833'],[' 0'],[' 0'],[' 0'],[' 0'],[' 0'],[' 7.4661e+08'],[' 6.21455e+08'],[' 0'],[' 1.71265e+10'],[' 0'],[' 0'],[' 2501 '],[' 5137 '],[' 7183 '],[' 3 '],[' 0 ']
